service_id,date,exception_type
DEC25-D02CAR-1_Weekday-SANTHB0,20260216,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260216,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260216,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260216,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260216,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260217,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260217,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260217,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260217,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260217,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260218,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260218,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260218,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260218,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260218,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260219,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260219,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260219,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260219,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260219,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260220,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260220,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260220,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260220,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260220,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260223,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260223,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260223,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260223,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260223,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260224,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260224,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260224,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260224,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260224,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260225,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260225,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260225,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260225,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260225,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260226,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260226,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260226,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260226,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260226,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260227,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260227,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260227,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260227,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260227,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260302,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260302,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260302,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260302,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260302,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260303,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260303,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260303,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260303,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260303,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260304,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260304,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260304,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260304,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260304,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260305,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260305,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260305,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260305,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260305,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260306,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260306,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260306,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260306,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260306,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260309,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260309,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260309,2
DEC25-D02CAR-1_Weekday-KINGMA0,20260309,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260309,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260310,2
DEC25-D02CAR-1_Weekday-SANTHA0,20260310,2
DEC25-D02CAR-1_Weekday-SANTHB0,20260310,2
DEC25-D02CAR-1_Weekday-KINGMB0,20260310,2
DEC25-D02CAR-1_Weekday-KINGMS1,20260310,2
DEC25-D02CAR-1_Weekday-SANTHS1,20260311,2
